model,threshold,precision,recall,f1,business_cost,TP,TN,FP,FN
HistGradientBoosting,0.62,0.7383177570093458,0.8404255319148937,0.7860696517412935,178,79,56623,28,15
HistGradientBoosting,0.63,0.7383177570093458,0.8404255319148937,0.7860696517412935,178,79,56623,28,15
HistGradientBoosting,0.64,0.7452830188679245,0.8404255319148937,0.79,177,79,56624,27,15
HistGradientBoosting,0.65,0.7523809523809524,0.8404255319148937,0.7939698492462312,176,79,56625,26,15
HistGradientBoosting,0.66,0.7669902912621359,0.8404255319148937,0.8020304568527918,174,79,56627,24,15
HistGradientBoosting,0.67,0.7669902912621359,0.8404255319148937,0.8020304568527918,174,79,56627,24,15
HistGradientBoosting,0.68,0.7669902912621359,0.8404255319148937,0.8020304568527918,174,79,56627,24,15
HistGradientBoosting,0.69,0.7669902912621359,0.8404255319148937,0.8020304568527918,174,79,56627,24,15
HistGradientBoosting,0.7,0.7745098039215687,0.8404255319148937,0.8061224489795918,173,79,56628,23,15
HistGradientBoosting,0.71,0.7821782178217822,0.8404255319148937,0.8102564102564103,172,79,56629,22,15
HistGradientBoosting,0.72,0.7821782178217822,0.8404255319148937,0.8102564102564103,172,79,56629,22,15
HistGradientBoosting,0.73,0.79,0.8404255319148937,0.8144329896907216,171,79,56630,21,15
HistGradientBoosting,0.74,0.8061224489795918,0.8404255319148937,0.8229166666666666,169,79,56632,19,15
HistGradientBoosting,0.75,0.8061224489795918,0.8404255319148937,0.8229166666666666,169,79,56632,19,15
HistGradientBoosting,0.76,0.8144329896907216,0.8404255319148937,0.8272251308900523,168,79,56633,18,15
HistGradientBoosting,0.77,0.8144329896907216,0.8404255319148937,0.8272251308900523,168,79,56633,18,15
HistGradientBoosting,0.78,0.8144329896907216,0.8404255319148937,0.8272251308900523,168,79,56633,18,15
HistGradientBoosting,0.79,0.8229166666666666,0.8404255319148937,0.8315789473684211,167,79,56634,17,15
HistGradientBoosting,0.8,0.8229166666666666,0.8404255319148937,0.8315789473684211,167,79,56634,17,15
